id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1389369172434489352,1389369172434489352,2021-05-04 00:59:58 GMT Summer Time,2021-05-04,00:59:58,+0100,2302277611,andesonnsales,Andesonsalles,,Ethereum vai ultrapassar o btc.  https://t.co/HrJDMe0U5K,pt,[],[],['https://pbs.twimg.com/media/E0gH5fMWEAQ_EIi.jpg'],0,0,1,[],[],https://twitter.com/AndesonnSales/status/1389369172434489352,False,,1,https://pbs.twimg.com/media/E0gH5fMWEAQ_EIi.jpg,,,,,,,[],,,,
1389369138544533515,1389009361708765187,2021-05-04 00:59:50 GMT Summer Time,2021-05-04,00:59:50,+0100,1176429400243523585,roberto12294835,Arthur Van Der Sar,,@ichimikichiki @CY30680429 @CalvinAyre @FinancialReview The community lol. It was the shady exchanges and 3 btc devs,en,[],[],[],1,0,0,[],[],https://twitter.com/Roberto12294835/status/1389369138544533515,False,,0,,,,,,,,"[{'screen_name': 'ichimikichiki', 'name': 'ichi', 'id': '997638830332067846'}, {'screen_name': 'CY30680429', 'name': 'CY', 'id': '1221636113481134081'}, {'screen_name': 'CalvinAyre', 'name': 'Calvin Ayre', 'id': '32318850'}, {'screen_name': 'FinancialReview', 'name': 'Financial Review', 'id': '19050000'}]",,,,
1389369130038480900,1389338759712419841,2021-05-04 00:59:48 GMT Summer Time,2021-05-04,00:59:48,+0100,28390353,wingmanbtc,wingman,,"@pkr_btc @DoItForCoin @wawin @Lord_Ashdrake soon my friend, i'm working hard on my farm atm, miss u guys soon enough i'll be back",en,[],[],[],1,0,3,[],[],https://twitter.com/wingmanbtc/status/1389369130038480900,False,,0,,,,,,,,"[{'screen_name': 'pkr_btc', 'name': 'pkr', 'id': '1094224574135369729'}, {'screen_name': 'DoItForCoin', 'name': 'Davy De', 'id': '3245369382'}, {'screen_name': 'wawin', 'name': 'wawin', 'id': '2937463226'}, {'screen_name': 'Lord_Ashdrake', 'name': 'Lord $SOLdrake - Living in a Premium Cardboard Box', 'id': '143977123'}]",,,,
1389369115811348482,1389369115811348482,2021-05-04 00:59:45 GMT Summer Time,2021-05-04,00:59:45,+0100,930268163740016640,cryptosennin,クリプト仙人,,$ETH が $BTC やアルトからチューチューしてるパターンなのかなと思いきやそうとも言えない感じ＝ $ETH 主導の底上げ感あって悪くない感じ？  https://t.co/G2j01hnHmo,ja,[],[],['https://pbs.twimg.com/media/E0gH2LfVkAMIgBk.jpg'],1,0,1,[],"['eth', 'btc', 'eth']",https://twitter.com/cryptosennin/status/1389369115811348482,False,,1,https://pbs.twimg.com/media/E0gH2LfVkAMIgBk.jpg,,,,,,,[],,,,
1389369097327161346,1389369097327161346,2021-05-04 00:59:40 GMT Summer Time,2021-05-04,00:59:40,+0100,3076915751,georgemxrshall,George,,May the rally commence... #ARB #BTC,en,[],[],[],0,0,2,"['arb', 'btc']",[],https://twitter.com/Georgemxrshall/status/1389369097327161346,False,https://twitter.com/ChartsBtc/status/1389340092158791683,0,,,,,,,,[],,,,
1389369091794866184,1389369091794866184,2021-05-04 00:59:39 GMT Summer Time,2021-05-04,00:59:39,+0100,1382301448201994241,chris500indiana,ChrisIndy500Fan,,"Never heard of ANYONE who really won from these ""please share"" contest.  BUT  I have downloaded the app to ⛏️ #BTC and transferred to my wallet. #Itworks   https://t.co/p2OOTUn8ld",en,[],['https://cryptotabbrowser.com/22442544'],[],0,0,0,"['btc', 'itworks']",[],https://twitter.com/Chris500Indiana/status/1389369091794866184,False,https://twitter.com/OgunrindeVicto4/status/1389341400001662985,0,,,,,,,,[],,,,
1389369090087739395,1388496523986669569,2021-05-04 00:59:38 GMT Summer Time,2021-05-04,00:59:38,+0100,1088110026,novacav,Griff,,@BisayaFilms @extzig @BTC_Archive You could use Bisq and arrange an IRL meetup with someone who wants to accept your bitcoin and wants to give you cash.  https://t.co/rEJMQNbLrh,en,[],['https://bisq.wiki/Face-to-face_(payment_method)'],[],0,0,0,[],[],https://twitter.com/novacav/status/1389369090087739395,False,,0,,,,,,,,"[{'screen_name': 'BisayaFilms', 'name': 'Bisaya Short Films', 'id': '31137574'}, {'screen_name': 'extzig', 'name': '0xZerpa', 'id': '1343147719301488640'}, {'screen_name': 'BTC_Archive', 'name': 'Bitcoin Archive 🗄🚀🌔', 'id': '970994516357472257'}]",,,,
1389369066750574592,1384792536590344193,2021-05-04 00:59:33 GMT Summer Time,2021-05-04,00:59:33,+0100,1129900104503062528,cryptocaligh,CryptoCaligh 🖍️🎨🖼️,,BTC  My original thesis is same as last yr.  Yellow box - range for little of mths  Red box - eventually BTC will gain so much strength n suck all life out of alts till eoy  https://t.co/qkeWgsZc4Z,en,[],[],['https://pbs.twimg.com/media/E0gHuVDUcAAejhS.png'],2,0,1,[],[],https://twitter.com/CryptoCaligh/status/1389369066750574592,False,,1,https://pbs.twimg.com/media/E0gHuVDUcAAejhS.png,,,,,,,[],,,,
1389369050669617159,1389369050669617159,2021-05-04 00:59:29 GMT Summer Time,2021-05-04,00:59:29,+0100,1295761833131835392,yanssssssranger,gaada nama,,#punkprotocol #airdrop #giveaway #crypto #DeFi #bitcoin #btc #Ethereum @elonmusk @CryptoHayes @SBF_Alameda @cz_binance,und,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}, {'screen_name': 'cryptohayes', 'name': 'arthur hayes', 'id': '983993370048630785'}, {'screen_name': 'sbf_alameda', 'name': 'sam banana-french fry (parody)', 'id': '1335047174141382657'}, {'screen_name': 'cz_binance', 'name': 'cz 🔶 binance', 'id': '902926941413453824'}]",[],[],0,0,0,"['punkprotocol', 'airdrop', 'giveaway', 'crypto', 'defi', 'bitcoin', 'btc', 'ethereum']",[],https://twitter.com/yanssssssranger/status/1389369050669617159,False,https://twitter.com/PunkProtocol/status/1387101319194845187,0,,,,,,,,[],,,,
1389369050665422849,1389369050665422849,2021-05-04 00:59:29 GMT Summer Time,2021-05-04,00:59:29,+0100,1285762325341855744,_hitozuma,人妻/HITOZUMA,,皆様おはようございます~！ 人妻の朝のニュースまとめ🐳  仮想通貨 ・eBayのCEOが仮想通貨決済を検討 ・ #BTC  大型アップデート(Taproot) の実装テスト開始 ・米国初、ナスダック上場企業が #ETH を購入 ・米最大手仮想通貨投資企業DCG、500億円以上のBTC投信が買増し可能に  いよいよバブル突入？？,ja,[],[],[],0,0,9,"['btc', 'eth']",[],https://twitter.com/_HITOZUMA/status/1389369050665422849,False,,0,,,,,,,,[],,,,
